label,threshold,precision,recall,f1,mode
auth_registration,0.55,0.8954248366013072,0.9383561643835616,0.9163879598662207,dashboard
customer_service,0.55,0.9090909090909091,0.8163265306122449,0.8602150537634409,dashboard
document_management,0.5,0.7777777777777778,0.6086956521739131,0.6829268292682927,dashboard
general_feedback,0.45,0.9105691056910569,0.8484848484848485,0.8784313725490196,dashboard
smarthealth_epa_features,0.45,0.28125,0.6428571428571429,0.391304347826087,dashboard
tech_stability_crash,0.8,0.9295774647887324,0.9041095890410958,0.9166666666666666,dashboard
updates_versions,0.4,0.6571428571428571,0.696969696969697,0.6764705882352942,dashboard
usability_ui,0.45,0.3724137931034483,0.8852459016393442,0.5242718446601942,dashboard
